strain,date,S1_mutations,clade_membership,country,current_frequency,division,emerging_lineage,epiweek,accession,host,mutational_fitness,pango_lineage,recency,region,url,author,originating_lab,submitting_lab,logistic_growth
Wuhan-Hu-1/2019,12/26/2019,,19A,China,,China,19A,201952,MN908947,Homo sapiens,,B,Older,Asia,,Wu et al,,,
Wuhan/WH01/2019,12/26/2019,,19A,China,,Hubei,19A,201952,LR757998,Homo sapiens,-0.01,B,Older,Asia,,Hunter et al,"BGI, Institute of Microbiology, Chinese Academy of Sciences, Shandong First Medical University and General Hospital of Central Theater Command of People's Liberation Army of China",Beijing Genome Institute,
CHN/P6-SARS-CoV-2/2020,1/28/2020,,19A,China,,Hunan,19A,202005,MW011764,Homo sapiens,-0.01,B,Older,Asia,,Qiu et al,,,
AUS/SA03/2020,1/30/2020,,19A,Australia,,South Australia,19A,202005,MT745748,Homo sapiens,0,B.1,Older,Oceania,,Caly et al A,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
AUS/SA04/2020,1/30/2020,,19A,Australia,,South Australia,19A,202005,MT745749,Homo sapiens,0,B.1,Older,Oceania,,Caly et al B,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
HongKong/1_2101/2020,1/23/2020,1,19B,Hong Kong,,Hong Kong,19B,202004,MT232662,Homo sapiens,-0.06,A,Older,Asia,,Leung et al,,,
THA/MUMT-3/2020,2/25/2020,,19B,Thailand,,Thailand,19B,202009,MT781415,Homo sapiens,-0.06,A.6,Older,Asia,,Sangsiriwut et al,,,
KHM/Kunming_kms-2/2020,3/21/2020,,19B,Cambodia,,Phnom Penh,19B,202012,MW341443,Homo sapiens,-0.06,A.6,Older,Asia,,Li et al A,,,
GBR/DMSOp13.5/2020,1/29/2020,1,19B,United Kingdom,,United Kingdom,19B,202005,OK041127,Homo sapiens,0.01,B,Older,Europe,,Szemiel et al A,MRC-University of Glasgow Centre for Virus Research,MRC-University of Glasgow Centre for Virus Research,
GBR/SARS-CoV-2Engl2/2020,1/29/2020,1,19B,United Kingdom,,United Kingdom,19B,202005,OK041134,Homo sapiens,-0.03,B,Older,Europe,,Szemiel et al B,MRC-University of Glasgow Centre for Virus Research,MRC-University of Glasgow Centre for Virus Research,
USA/WA1/2020,1/25/2020,1,19B,USA,,Washington,19B,202004,MZ433205,Homo sapiens,-0.03,A,Older,North America,,Greninger et al,,,
USA/FL-CDC-03063111-001/2020,2/28/2020,,19B,USA,,Florida,19B,202009,MT276330,Homo sapiens,-0.09,A.1,Older,North America,,Uehara et al A,,,
PER/covper066/2020,3/16/2020,,19B,Peru,,Peru,19B,202012,MW030206,Homo sapiens,-0.13,A.1,Older,South America,,Juscamayta et al A,,,
NZL/20VR2034/2020,4/1/2020,,19B,New Zealand,,Wellington,19B,202014,OK427142,Homo sapiens,-0.14,A.1,Older,Oceania,,Ren et al A,Wellington SCL (WN),Institute of Environmental Science and Research,
AUS/TAS261/2020,4/8/2020,,19B,Australia,,Tasmania,19B,202015,MT973327,Homo sapiens,-0.14,A.1,Older,Oceania,,Sait et al A,Royal Hobart Hospital Microbiology Department,The Peter Doherty Institute for Infection and Immunity,
VEN/1Z/2020,3/16/2020,1,19B,Venezuela,,Venezuela,19B,202012,MT907515,Homo sapiens,-0.07,A.2,Older,South America,,Loureiro et al A,,,
PER/covper070/2020,3/18/2020,,19B,Peru,,Peru,19B,202012,MW030210,Homo sapiens,-0.06,A.2,Older,South America,,Juscamayta et al B,,,
AUS/NT08/2020,3/20/2020,,19B,Australia,,Northern Territory,19B,202012,MT641654,Homo sapiens,-0.01,A.2.2,Older,Oceania,,Caly et al C,Royal Darwin Hospital Pathology,The Peter Doherty Institute for Infection and Immunity,
NZL/20CV0277/2020,3/24/2020,,19B,New Zealand,,Hawkes Bay,19B,202013,OK426579,Homo sapiens,-0.01,A.2.2,Older,Oceania,,Ren et al B,Canterbury Health Laboratories,Institute of Environmental Science and Research,
NZL/20CV0302/2020,3/29/2020,,19B,New Zealand,,Hawkes Bay,19B,202014,OK426939,Homo sapiens,-0.01,A.2.2,Older,Oceania,,Ren et al C,Canterbury Health Laboratories,Institute of Environmental Science and Research,
AUS/TAS58/2020,4/4/2020,,19B,Australia,,Tasmania,19B,202014,MT973394,Homo sapiens,0,A.2.2,Older,Oceania,,Sait et al B,Royal Hobart Hospital Microbiology Department,The Peter Doherty Institute for Infection and Immunity,
AUS/TAS166/2020,5/1/2020,,19B,Australia,,Tasmania,19B,202018,MT973473,Homo sapiens,0,A.2.2,Older,Oceania,,Sait et al C,Royal Hobart Hospital Microbiology Department,The Peter Doherty Institute for Infection and Immunity,
AUS/TAS260/2020,5/8/2020,,19B,Australia,,Tasmania,19B,202019,MT973326,Homo sapiens,0,A.2.2,Older,Oceania,,Sait et al D,Royal Hobart Hospital Microbiology Department,The Peter Doherty Institute for Infection and Immunity,
KOR/KCDC15-NCCP43331/2020,3/17/2020,1,19B,South Korea,,South Korea,19B,202012,MW466796,Homo sapiens,-0.03,A,Older,Asia,,Kim et al A,,,
COL/79256_Antioquia/2020,3/11/2020,,19B,Colombia,,Antioquia,19B,202011,MT256924,Homo sapiens,-0.06,A.5,Older,South America,,Mercado-Reyes et al,,,
URY/Mdeo-1/2020,3/13/2020,,19B,Uruguay,,Uruguay,19B,202011,MT466071,Homo sapiens,-0.06,A.5,Older,South America,,Panzera et al A,,,
AUS/VIC07/2020,2/8/2020,,19B,Australia,,Victoria,19B,202006,MT450924,Homo sapiens,-0.04,A,Older,Oceania,,Seemann et al A,Victorian Infectious Diseases Reference Laboratory (VIDRL),The Peter Doherty Institute for Infection and Immunity,
MLI/M00959/2020,6/10/2020,1,19B,Mali,,Mali,19B,202024,OL448870,Homo sapiens,0.04,A.21,Older,Africa,,Dara et al A,,,
OU994655,4/23/2020,2,19B,Saudi Arabia,,Madinah,19B,202017,OU994655,Homo sapiens,-0.04,B.1,Older,Asia,,Naeem et al,King Abdullah University of Science and Technology (KAUST),King Abdullah University of Science and Technology,
IND/GBRC15/2020,4/27/2020,,19B,India,,Gujarat,19B,202018,MT451879,Homo sapiens,-0.04,A,Older,Asia,,Saiyed et al A,,,
TUN/Tunisia_MHT_2/2020,3/24/2020,,19B,Tunisia,,Ben Arous,19B,202013,MT559038,Homo sapiens,-0.04,A,Older,Africa,,Handrick et al,,,
GHA/84162_S45/2020,4/25/2020,,19B,Ghana,,Ghana,19B,202017,MT890242,Homo sapiens,-0.04,A,Older,Africa,,Ngoi et al A,,,
NZL/20VR3131/2020,6/16/2020,,19B,New Zealand,,New Zealand,19B,202025,OK433260,Homo sapiens,-0.04,A.11,Older,Oceania,,Ren et al D,Wellington SCL (WN),Institute of Environmental Science and Research,
NZL/20CV0316/2020,4/1/2020,,19B,New Zealand,,Hawkes Bay,19B,202014,OK426995,Homo sapiens,-0.04,A,Older,Oceania,,Ren et al E,Canterbury Health Laboratories,Institute of Environmental Science and Research,
ETH/S13/2021,2/1/2021,2,19B,Ethiopia,,Addis Ababa,19B,202105,OL840814,Homo sapiens,0.03,A,Older,Africa,,Bitew et al A,,,
AUS/QLD02/2020,7/20/2020,,19B,Australia,,Australia,19B,202030,MW772455,Homo sapiens,-0.04,A,Older,Oceania,,Parry et al A,,,
GHA/81216_S36/2020,5/20/2020,,19B,Ghana,,Ghana,19B,202021,MT890238,Homo sapiens,-0.01,A,Older,Africa,,Ngoi et al B,,,
UGA/MUWRP-KIR200040S/2020,7/31/2020,,19B,Uganda,,Uganda,19B,202031,OM811375,Homo sapiens,-0.01,A.25,3-7 days ago,Africa,,Byarugaba et al A,,,
UGA/MAKCHScov1/2020,11/13/2020,5,19B,Uganda,,Uganda,19B,202046,MZ287364,Homo sapiens,0.12,A.23.1,Older,Africa,,Mwesigwa et al A,,,
UGA/MUWRP-MUL200469/2020,12/8/2020,5,19B,Uganda,,Uganda,19B,202050,OM811366,Homo sapiens,0.11,A.23.1,3-7 days ago,Africa,,Byarugaba et al B,,,
USA/CA-CDC-02993506-001/2020,1/22/2020,,19A,USA,,California,19A,202004,MN994468,Homo sapiens,-0.1,B,Older,North America,,Uehara et al B,,,
SWE/01/2020,2/7/2020,,19A,Sweden,,Sweden,19A,202006,MT093571,Homo sapiens,-0.11,B,Older,Europe,,Bengner et al,,,
