strain,date,country,region,url,author,accession
IMB-1,5/8/2006,China,China,,Ma et al (https://www.ncbi.nlm.nih.gov/pubmed/21221916),FJ161211
Amsterdam.NLD/27.97/H1,1997-12-31 (1997-03-02 - 1997-12-31),Netherlands,Europe,,Phan et al,MG912594
Zhejiang.CHN/12.06/2/H1,3/23/2006,China,China,,Jin et al,KJ755977
Zhejiang.CHN/14.07/1/H1,4/6/2007,China,China,,Jin et al,KJ755978
Zhuhai.CHN/10.17/2/H1,2017-04-30 (2017-04-04 - 2017-04-30),China,China,,Li et al A,MG972194
Zhejiang.CHN/10.05/1/H1,3/11/2005,China,China,,Jin et al,KJ755976
Daegu.KOR/20.27/3/H1,5/11/2007,South Korea,Japan Korea,,Kim et al,MN630021
Zhejiang.CHN/12.09/1/H1,3/18/2009,China,China,,Jin et al,KJ755980
Pennsylvania.USA/20.09,5/14/2009,Usa,North America,,Kirkness et al,JN635411
Zhejiang.CHN/16.10/2/H1,4/21/2010,China,China,,Jin et al,KJ755981
Zhejiang.CHN/10.11/2/H1,3/10/2011,China,China,,Jin et al,KJ755982
Guizhou.CHN/29.13/H1,7/14/2013,China,China,,Zou et al,KT588921
Zhejiang.CHN/12.08/1/H1,3/20/2008,China,China,,Jin et al,KJ755979
BritishColumbia.CAN/12.10/1/H1,3/31/2010,Canada,North America,,Gardy et al (https://www.ncbi.nlm.nih.gov/pubmed/26153409),KJ018970
Incheon.KOR/25.10/8/H1,10/4/2010,,,,Kim et al,MN630020
Amsterdam.NLD/49.97/G2,2013-01-01 (2013-01-01 - 2013-11-08),Netherlands,Europe,,Phan et al,MG912591
Venice.ITA/06.11/1/G3,2011-02-28 (2011-02-04 - 2011-02-28),Italy,Europe,,Franchin et al,KC164758
Lyon.FRA/77,1977-01-01 (1977-01-01 - 1977-08-21),France,Europe,,Moulin et al (https://www.ncbi.nlm.nih.gov/pubmed/21739453),HM562899
unnamed,1/16/2013,Germany,Europe,,Udem et al,BD137595
Leningrad-16,2010-07-14 (2010-01-01 - 2010-12-31),Russia,West Asia,,Sidorenko et al,JF727649
MeV/08/ZJ/CHN/2017,3/20/2017,China,China,,Li et al B,MN145872
Bilthoven.NLD/1991/C2,1991-12-31 (1991-03-15 - 1991-12-31),Netherlands,Europe,,Phan et al,MG912589
Gambia/1993,1993-01-01 (1993-01-01 - 1993-11-12),Gambia,Africa,,Druelle et al (https://www.ncbi.nlm.nih.gov/pubmed/18241351),EF565859
Khartoum.SUD/34.97/B3,1997-11-28 (1997-01-01 - 1997-12-31),Sudan,Africa,,Phan et al,MG912590
