strain,date,country,region,url,author,accession
FSS13025,6/14/2016,Cambodia,Southeast Asia,,Esser-Nobis et al,MH368551
THA/PLCal_ZV/2013,2/19/2013,Thailand,Southeast Asia,,Fonseca et al (https://www.ncbi.nlm.nih.gov/pubmed/25294619),KF993678
MU_DMSC_4/2016,4/26/2016,Thailand,Southeast Asia,,?,MT377498
SI_BKK01,8/30/2016,Thailand,Southeast Asia,,Leelahakorn et al,KY272987
SV0010/15,1/16/2015,Thailand,Southeast Asia,,Melendez et al,KX051562
V151144,8/27/2015,Thailand,Southeast Asia,,?,MT377503
SK403/13AS,9/21/2013,Thailand,Southeast Asia,,Melendez et al,KX051561
MU_DMSC_2/2017,2/23/2017,Thailand,Southeast Asia,,?,MT377493
DMSc05684_16,12/1/2016,Thailand,Southeast Asia,,Chanama et al,MH119185
SK364/13AS,7/9/2013,Thailand,Southeast Asia,,Melendez et al,KX051560
V17844,9/18/2018,India,South Asia,,Yadav et al (https://www.ncbi.nlm.nih.gov/pubmed/30703541),MK238035
V20616,10/11/2018,India,South Asia,,Yadav et al (https://www.ncbi.nlm.nih.gov/pubmed/30703541),MK238039
V20364,10/10/2018,India,South Asia,,Yadav et al (https://www.ncbi.nlm.nih.gov/pubmed/30703541),MK238036
V21993,10/15/2018,India,South Asia,,Yadav et al (https://www.ncbi.nlm.nih.gov/pubmed/30703541),MK238038
V20366,10/10/2018,India,South Asia,,Yadav et al (https://www.ncbi.nlm.nih.gov/pubmed/30703541),MK238037
THA/2014/SV0127_14,7/19/2014,Thailand,Southeast Asia,,Ellison et al (https://www.ncbi.nlm.nih.gov/pubmed/27174274),KU681081
SI_BKK06,9/7/2017,Thailand,Southeast Asia,,Wongsurawat et al (https://www.ncbi.nlm.nih.gov/pubmed/29985788),MG807647
MU_DMSC_1/2017,3/20/2017,Thailand,Southeast Asia,,?,MT377491
MU_DMSC_3/2016,11/25/2016,Thailand,Southeast Asia,,?,MT377497
MU_DMSC_2/2016,11/20/2016,Thailand,Southeast Asia,,?,MT377496
MU_DMSC_5/2016,12/8/2016,Thailand,Southeast Asia,,?,MT377499
SG_021,9/13/2016,Singapore,Southeast Asia,,Ho et al,KY241691
BKK07,10/1/2017,Thailand,Southeast Asia,,Wongsurawat et al (https://www.ncbi.nlm.nih.gov/pubmed/29985788),MH013290
Thailand/1610acTw,2016-10-31 (2016-10-04 - 2016-10-31),Thailand,Southeast Asia,,Lin et al,MF692778
MU_DMSC_3/2017,11/24/2017,Thailand,Southeast Asia,,?,MT377494
MU_DMSC_5/2017,11/22/2017,Thailand,Southeast Asia,,?,MT377501
Cambodia/2019/SZ1901,2019-12-01 (2019-12-01 - 2019-12-28),Cambodia,Southeast Asia,,?,MZ008356
MU_DMSC_1/2016,3/20/2016,Thailand,Southeast Asia,,?,MT377492
BKK03,11/30/2016,Thailand,Southeast Asia,,Wongsurawat et al (https://www.ncbi.nlm.nih.gov/pubmed/29985788),MG548660
SI_BKK02,8/7/2017,Thailand,Southeast Asia,,Wongsurawat et al (https://www.ncbi.nlm.nih.gov/pubmed/29985788),MF996804
BKK04,11/30/2016,Thailand,Southeast Asia,,Wongsurawat et al (https://www.ncbi.nlm.nih.gov/pubmed/29985788),MG548661
MU_DMSC_6/2016,12/20/2016,Thailand,Southeast Asia,,?,MT377500
SI_BKK05,11/11/2016,Thailand,Southeast Asia,,Wongsurawat et al (https://www.ncbi.nlm.nih.gov/pubmed/29985788),MG807646
SG_086,9/5/2016,Singapore,Southeast Asia,,Ho et al,KY241756
SG_018,9/13/2016,Singapore,Southeast Asia,,Ho et al,KY241688
ZKA_16_097,8/27/2016,Singapore,Southeast Asia,,Ng et al,KX813683
SG_059,8/29/2016,Singapore,Southeast Asia,,Ho et al,KY241729
SG_044,8/28/2016,Singapore,Southeast Asia,,Ho et al,KY241714
SG_047,8/29/2016,Singapore,Southeast Asia,,Ho et al,KY241717
SG_042,8/30/2016,Singapore,Southeast Asia,,Ho et al,KY241712
SG_030,8/27/2016,Singapore,Southeast Asia,,Ho et al,KY241700
SG_013,9/8/2016,Singapore,Southeast Asia,,Ho et al,KY241683
SG_070,8/29/2016,Singapore,Southeast Asia,,Ho et al,KY241740
SG_113,9/7/2016,Singapore,Southeast Asia,,Ho et al,KY241783
SG_051,8/28/2016,Singapore,Southeast Asia,,Ho et al,KY241721
SG_026,8/30/2016,Singapore,Southeast Asia,,Ho et al,KY241696
SG_109,9/6/2016,Singapore,Southeast Asia,,Ho et al,KY241779
SG_108,9/6/2016,Singapore,Southeast Asia,,Ho et al,KY241778
SG_012,9/8/2016,Singapore,Southeast Asia,,Ho et al,KY241682
SG_110,9/6/2016,Singapore,Southeast Asia,,Ho et al,KY241780
SG_057,8/28/2016,Singapore,Southeast Asia,,Ho et al,KY241727
SG_052,8/28/2016,Singapore,Southeast Asia,,Ho et al,KY241722
SG_117,9/7/2016,Singapore,Southeast Asia,,Ho et al,KY241787
SG_003,9/4/2016,Singapore,Southeast Asia,,Ho et al,KY241673
SG_096,9/15/2016,Singapore,Southeast Asia,,Ho et al,KY241766
SG_066,8/29/2016,Singapore,Southeast Asia,,Ho et al,KY241736
SG_019,9/13/2016,Singapore,Southeast Asia,,Ho et al,KY241689
SG_056,8/28/2016,Singapore,Southeast Asia,,Ho et al,KY241726
ZKA_16_922,9/1/2016,Singapore,Southeast Asia,,Ng et al,MH255601
SG_111,9/6/2016,Singapore,Southeast Asia,,Ho et al,KY241781
SG_107,9/6/2016,Singapore,Southeast Asia,,Ho et al,KY241777
SG_068,8/30/2016,Singapore,Southeast Asia,,Ho et al,KY241738
SG_112,9/7/2016,Singapore,Southeast Asia,,Ho et al,KY241782
SG_037,8/28/2016,Singapore,Southeast Asia,,Ho et al,KY241707
SG_074,8/28/2016,Singapore,Southeast Asia,,Ho et al,KY241744
SG_064,8/28/2016,Singapore,Southeast Asia,,Ho et al,KY241734
SG_099,9/10/2016,Singapore,Southeast Asia,,Ho et al,KY241769
SG_020,9/13/2016,Singapore,Southeast Asia,,Ho et al,KY241690
SG_024,9/19/2016,Singapore,Southeast Asia,,Ho et al,KY241694
SG_022,9/14/2016,Singapore,Southeast Asia,,Ho et al,KY241692
SG_105,9/5/2016,Singapore,Southeast Asia,,Ho et al,KY241775
SG_023,9/15/2016,Singapore,Southeast Asia,,Ho et al,KY241693
SG_034,8/27/2016,Singapore,Southeast Asia,,Ho et al,KY241704
SG_061,8/30/2016,Singapore,Southeast Asia,,Ho et al,KY241731
SG_058,8/29/2016,Singapore,Southeast Asia,,Ho et al,KY241728
SG_008,9/7/2016,Singapore,Southeast Asia,,Ho et al,KY241678
SG_005,9/6/2016,Singapore,Southeast Asia,,Ho et al,KY241675
SG_097,9/7/2016,Singapore,Southeast Asia,,Ho et al,KY241767
SG_015,9/12/2016,Singapore,Southeast Asia,,Ho et al,KY241685
SG_006,9/6/2016,Singapore,Southeast Asia,,Ho et al,KY241676
SG_014,9/8/2016,Singapore,Southeast Asia,,Ho et al,KY241684
SG_007,9/7/2016,Singapore,Southeast Asia,,Ho et al,KY241677
SG_009,9/7/2016,Singapore,Southeast Asia,,Ho et al,KY241679
SG_084,9/7/2016,Singapore,Southeast Asia,,Ho et al,KY241754
SG_017,9/13/2016,Singapore,Southeast Asia,,Ho et al,KY241687
SG_090,9/13/2016,Singapore,Southeast Asia,,Ho et al,KY241760
SG_091,9/3/2016,Singapore,Southeast Asia,,Ho et al,KY241761
SG_101,9/2/2016,Singapore,Southeast Asia,,Ho et al,KY241771
SG_039,8/28/2016,Singapore,Southeast Asia,,Ho et al,KY241709
SG_087,9/12/2016,Singapore,Southeast Asia,,Ho et al,KY241757
SG_116,9/6/2016,Singapore,Southeast Asia,,Ho et al,KY241786
SG_093,9/2/2016,Singapore,Southeast Asia,,Ho et al,KY241763
SG_085,8/31/2016,Singapore,Southeast Asia,,Ho et al,KY241755
SG_049,8/29/2016,Singapore,Southeast Asia,,Ho et al,KY241719
SG_033,8/29/2016,Singapore,Southeast Asia,,Ho et al,KY241703
SG_080,8/28/2016,Singapore,Southeast Asia,,Ho et al,KY241750
SG_076,8/28/2016,Singapore,Southeast Asia,,Ho et al,KY241746
SG_082,8/28/2016,Singapore,Southeast Asia,,Ho et al,KY241752
SG_100,8/30/2016,Singapore,Southeast Asia,,Ho et al,KY241770
SG_092,8/30/2016,Singapore,Southeast Asia,,Ho et al,KY241762
SG_077,8/28/2016,Singapore,Southeast Asia,,Ho et al,KY241747
SG_004,9/5/2016,Singapore,Southeast Asia,,Ho et al,KY241674
SG_031,8/27/2016,Singapore,Southeast Asia,,Ho et al,KY241701
SG_083,8/26/2016,Singapore,Southeast Asia,,Ho et al,KY241753
SG_073,8/26/2016,Singapore,Southeast Asia,,Ho et al,KY241743
SG_054,8/28/2016,Singapore,Southeast Asia,,Ho et al,KY241724
SG_067,8/28/2016,Singapore,Southeast Asia,,Ho et al,KY241737
SG_053,8/27/2016,Singapore,Southeast Asia,,Ho et al,KY241723
SG_032,8/27/2016,Singapore,Southeast Asia,,Ho et al,KY241702
SG_062,8/27/2016,Singapore,Southeast Asia,,Ho et al,KY241732
SG_102,8/30/2016,Singapore,Southeast Asia,,Ho et al,KY241772
SG_029,8/30/2016,Singapore,Southeast Asia,,Ho et al,KY241699
Yunnan/01/2019,7/2/2019,China,China,,Li et al A,MN190155
2019YN02,7/1/2019,China,China,,?,MN611472
V3015,4/2/2016,Vietnam,Southeast Asia,,?,MW915411
V8607,11/22/2016,Vietnam,Southeast Asia,,?,MW915414
NIID123/2016,11/22/2016,Vietnam,Southeast Asia,,Hashimoto et al (https://www.ncbi.nlm.nih.gov/pubmed/28445122),LC219720
V7040,10/6/2016,Vietnam,Southeast Asia,,?,MW915412
V8546,11/17/2016,Vietnam,Southeast Asia,,?,MW915413
1_0038_PF,2014-01-31 (2014-01-04 - 2014-01-31),French Polynesia,Oceania,,Pettersson et al (https://www.ncbi.nlm.nih.gov/pubmed/27729507),KX447517
1_0111_PF,2014-01-01 (2014-01-01 - 2014-01-31),French Polynesia,Oceania,,Pettersson et al (https://www.ncbi.nlm.nih.gov/pubmed/27729507),KX447516
1_0030_PF,2013-11-12 (2013-11-01 - 2013-11-30),French Polynesia,Oceania,,Pettersson et al (https://www.ncbi.nlm.nih.gov/pubmed/27729507),KX447515
1_0035_PF,2014-01-31 (2014-01-04 - 2014-01-31),French Polynesia,Oceania,,Pettersson et al (https://www.ncbi.nlm.nih.gov/pubmed/27729507),KX447514
H/PF/2013,11/28/2013,French Polynesia,Oceania,,Baronti et al (https://www.ncbi.nlm.nih.gov/pubmed/24903869),KJ776791
1_0080_PF,2014-02-28 (2014-02-02 - 2014-02-28),French Polynesia,Oceania,,Pettersson et al (https://www.ncbi.nlm.nih.gov/pubmed/27729507),KX447521
1_0087_PF,2013-12-14 (2013-12-01 - 2013-12-31),French Polynesia,Oceania,,Pettersson et al (https://www.ncbi.nlm.nih.gov/pubmed/27729507),KX447509
TS17_2016,2016-02-01 (2016-02-01 - 2016-02-26),Australia,Oceania,,Pyke et al,KX806557
Chiba/S36/2016,4/21/2016,Fiji,Oceania,,Taira et al (https://www.ncbi.nlm.nih.gov/pubmed/28367888),LC191864
ZJ02,2016-02-01 (2016-02-01 - 2016-02-25),American Samoa,Oceania,,Tong et al A,KU761561
ZJ03,2016-02-29 (2016-02-04 - 2016-02-29),American Samoa,Oceania,,Tong et al A,KU761560
Zhejiang04,2/17/2016,American Samoa,Oceania,,Zhang et al,KX117076
ZJ04,2/17/2016,China,China,,Tong et al B,KX013000
ZJ01,2/16/2016,China,China,,Tong et al B,KU997667
CN/SZ02/2016,2/17/2016,American Samoa,Oceania,,Zhao et al,KX185891
ZKC2P4,4/16/2016,China,China,,Guo et al,MG674718
ZKC2P6,4/16/2016,China,China,,Guo et al,MG674719
JXLHS1807,2018-07-01 (2018-07-01 - 2018-07-28),China,China,,?,MK696551
GZDJ1685,2016-08-31 (2016-08-09 - 2016-08-31),China,China,,Song et al A (https://www.ncbi.nlm.nih.gov/pubmed/29089591),MF099651
GZDJ1666_2,12/1/2016,China,China,,Song et al B,MF964216
SMGC_1,2/14/2016,American Samoa,Oceania,,Bi et al,KX266255
_CCMU01/2016,11/2/2016,China,China,,Wu et al A,MF036115
SY01_2016,11/1/2016,China,China,,Wu et al B,KY967711
Z16006,2/16/2016,American Samoa,Oceania,,Wu et al C,KU955589
ZKC2/2016,2/16/2016,American Samoa,Oceania,,Wu et al D,KX253996
1_0181_PF,2013-12-01 (2013-12-01 - 2013-12-28),French Polynesia,Oceania,,Pettersson et al (https://www.ncbi.nlm.nih.gov/pubmed/27729507),KX447512
1_0015_PF,2014-01-04 (2014-01-01 - 2014-01-31),French Polynesia,Oceania,,Pettersson et al (https://www.ncbi.nlm.nih.gov/pubmed/27729507),KX447511
1_0134_PF,2013-12-31 (2013-12-04 - 2013-12-31),French Polynesia,Oceania,,Pettersson et al (https://www.ncbi.nlm.nih.gov/pubmed/27729507),KX447513
1_0199_PF,2013-11-01 (2013-11-01 - 2013-11-27),French Polynesia,Oceania,,Pettersson et al (https://www.ncbi.nlm.nih.gov/pubmed/27729507),KX447519
FrenchPolynesia2014_060114_016,1/6/2014,French Polynesia,Oceania,,Paoaafaite et al,MG976700
1_0016_PF,2014-01-31 (2014-01-05 - 2014-01-31),French Polynesia,Oceania,,Pettersson et al (https://www.ncbi.nlm.nih.gov/pubmed/27729507),KX447520
1_0049_PF,2013-12-31 (2013-12-04 - 2013-12-31),French Polynesia,Oceania,,Pettersson et al (https://www.ncbi.nlm.nih.gov/pubmed/27729507),KX447510
1_0117_PF,2013-12-18 (2013-12-01 - 2013-12-31),French Polynesia,Oceania,,Pettersson et al (https://www.ncbi.nlm.nih.gov/pubmed/27729507),KX447518
Brazil/2015/ZBRD116,8/28/2015,Brazil,South America,,Faria et al A,KY559003
SG_118,5/13/2016,Singapore,Southeast Asia,,Ho et al,KY241788
Haiti/1/2016,2/5/2016,Haiti,North America,,Iovine et al (https://www.ncbi.nlm.nih.gov/pubmed/27694479),KX051563
Haiti/1225/2014,12/12/2014,Haiti,North America,,Lednicky et al A (https://www.ncbi.nlm.nih.gov/pubmed/27111294),KU509998
CX5,2016-02-29 (2016-02-05 - 2016-02-29),Brazil,South America,,Wallau et al,KX986760
Brazil/2016/ZBRC14,1/15/2016,Brazil,South America,,Faria et al A,KY558990
Brazil/2016/ZBRC25,1/18/2016,Brazil,South America,,Faria et al A,KY558993
SPH2015,2015-03-28 (2015-03-01 - 2015-03-31),Brazil,South America,,Cunha et al (https://www.ncbi.nlm.nih.gov/pubmed/26941134),KU321639
PE243,5/13/2015,Brazil,South America,,Marques et al,MF352141
mosquito/Haiti/1919/2016,5/10/2016,Haiti,North America,,White et al,MF783073
Bahia01,2015-05-31 (2015-05-04 - 2015-05-31),Brazil,South America,,Naccache et al (https://www.ncbi.nlm.nih.gov/pubmed/27448188),KX101066
Bahia02,2015-05-01 (2015-05-01 - 2015-05-31),Brazil,South America,,Naccache et al (https://www.ncbi.nlm.nih.gov/pubmed/27448188),KX101060
V152416,4/5/2016,Brazil,South America,,?,MT439641
Bahia08,7/15/2015,Brazil,South America,,Naccache et al (https://www.ncbi.nlm.nih.gov/pubmed/27448188),KU940227
Bahia03,2015-05-31 (2015-05-09 - 2015-05-31),Brazil,South America,,Naccache et al (https://www.ncbi.nlm.nih.gov/pubmed/27448188),KX101061
Bahia07,7/1/2015,Brazil,South America,,Naccache et al (https://www.ncbi.nlm.nih.gov/pubmed/27448188),KU940228
HS_2015_BA_01,2015-08-31 (2015-08-06 - 2015-08-31),Brazil,South America,,Teixeira et al,KX520666
Bahia09,8/1/2015,Brazil,South America,,Naccache et al (https://www.ncbi.nlm.nih.gov/pubmed/27448188),KU940224
Salvador,11/11/2017,Brazil,South America,,?,MN101548
