strain,date,url,clade_membership,country,region,age,age_range1,age_range2,age_range3,collab_country,date_added,symptom,author,accession
2123800027,2012-09-18,,A2,France,Europe,4.3,1-5y,<18y,<18y,,,,"Bal, A. et al.",MK105982
USA/CA/2002-23233,2002-01-01 (2002-01-01 - 2002-11-03),,,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240507
EVD68/Homosapiens/VNM/VN9/2010,2010-06-03 (2010-01-01 - 2010-12-31),,A2,Vietnam,Southeast Asia,,,<18y,<18y,,7/15/2019,,"Nguyen,N.N.",MF045421
BCH895A,2008-10-07,,A2,China,China,,,<18y,<18y,,7/15/2019,,"Xiang,Z., Li,L., Lei,X., Zhou,H., Zhou,Z., He,B. and Wang,J.",KF726085
BJ24,2008-12-31,,A2,China,China,,,,,,7/15/2019,,"Wang,Y., Zhao,Y., Lu,R., Li,Y. and Tan,W.",KU242683
14ISO0020050,2014-10-17,,A2,France,Europe,0.19,<1y,<18y,<18y,,,,"Bal, A. et al.",MK105978
US/KY/14-18953,2014-08-01 (2014-08-01 - 2014-08-28),,A2,USA,North America,,,,,,7/15/2019,,"Brown,B.A., Nix,W.A., Sheth,M., Frace,M. and Oberste,M.S.",KM851231
14ISO0120062,2014-11-18,,A2,France,Europe,53.94,18-64y,18-64y,>=18y,,,,"Bal, A. et al.",MK105979
14ISO0043,2014-10-22,,A2,France,Europe,5.62,1-5y,<18y,<18y,,,,"Bal, A. et al.",MK105976
14ISO18022,2014-12-02,,A2,France,Europe,69.46,>=65y,>=65y,>=18y,,,,"Bal, A. et al.",MK105977
CHN/CQ5508/2013,2013-10-05,,A2,China,China,0.08,<1y,<18y,<18y,,7/15/2019,,"Xiao,Q., Ren,L., Zheng,S., Wang,L., Xie,X., Deng,Y., Zhao,Y., Zhao,X., Luo,Z., Fu,Z., Huang,A. and Liu,E.",KT803588
2011-21286,2011-12-20,,A2,China,China,4,1-5y,<18y,<18y,,7/15/2019,,"Zhang,T.",KT306743
2012-12225,2012-01-19,,A2,China,China,76,>=65y,>=65y,>=18y,,7/15/2019,,"Zhang,T.",KT285319
V13-2245157,2013-05-21,,A2,Hong Kong,China,94,>=65y,>=65y,>=18y,,7/15/2019,,"Yip,C.C.Y., Lo,J.Y.C., Sridhar,S., Lung,D.C., Luk,S., Chan,K.H., Chan,J.F.W., Cheng,V.C.C., Woo,P.C.Y., Yuen,K.Y. and Lau,S.K.P.",KY767821
2013-1017-26,2013-10-17,,A2,China,China,10,6-17y,<18y,<18y,,7/15/2019,,"Zhang,T.",KT280501
2013-0825-6,2013-08-25,,A2,China,China,6,6-17y,<18y,<18y,,7/15/2019,,"Zhang,T.",KT280502
CQ5313,2013-08-22,,A2,China,China,,,,,,7/15/2019,,"Lu,Q.-B. and Liu,W.",KT764078
VRES189560,2018-09-10,,A2,France,Europe,1.18,1-5y,<18y,<18y,,,,"Bal, A. et al.",MK105987
VRES189781,2018-09-21,,A2,France,Europe,1.21,1-5y,<18y,<18y,,,,"Bal, A. et al.",MK105989
EVD68_CHE_001_180829_NFLG,2018-08-29,,A2,Switzerland,Europe,64,18-64y,18-64y,>=18y,Basel Switzerland,9/9/2019,,"Hodcroft, E. B. et al.",MN245406
EVD68_ESP_021_181112_NFLG,2018-11-12,,A2,Spain,Europe,76,>=65y,>=65y,>=18y,Tenerife Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245432
EVD68_ESP_013_181022_NFLG,2018-10-22,,A2,Spain,Europe,5,1-5y,<18y,<18y,Barcelona Spain,9/9/2019,,"Hodcroft, E. B. et al.",XXMN245424X
EVD68_ESP_011_181015_NFLG,2018-10-15,,A2,Spain,Europe,2.05,1-5y,<18y,<18y,Barcelona Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245422
EVD68_ESP_023_181128_NFLG,2018-11-28,,A2,Spain,Europe,76,>=65y,>=65y,>=18y,Tenerife Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245433
EVD68_ESP_009_180926_NFLG,2018-09-26,,A2,Spain,Europe,0.79,<1y,<18y,<18y,Barcelona Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245420
EVD68_ESP_018_181015_NFLG,2018-10-15,,A2,Spain,Europe,0.25,<1y,<18y,<18y,Tenerife Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245429
VRES189550,2018-09-10,,A2,France,Europe,72.29,>=65y,>=65y,>=18y,,,,"Bal, A. et al.",MK105986
NL_06_2019,2019-09-11,,A2,Netherlands,Europe,46,18-64y,18-64y,>=18y,RIVM Netherlands,12/1/2019,,Midgley et al.,MN726801
2016-R4150,2016-08-01 (2016-07-08 - 2016-08-01),,A2,China,China,43,18-64y,18-64y,>=18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341726
2016-R4523,2016-08-02 (2016-08-02 - 2016-08-24),,A2,China,China,37,18-64y,18-64y,>=18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341727
2016-R4607,2016-08-02 (2016-08-02 - 2016-08-29),,A2,China,China,5,1-5y,<18y,<18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341729
2016-R4559,2016-09-01 (2016-08-06 - 2016-09-01),,A2,China,China,77,>=65y,>=65y,>=18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341728
2016-R6143,2016-11-01 (2016-10-06 - 2016-11-01),,A2,China,China,35,18-64y,18-64y,>=18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341733
2017-R1150,2017-02-28 (2017-02-05 - 2017-02-28),,A2,China,China,27,18-64y,18-64y,>=18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341734
2016-R5080,2016-10-01 (2016-09-07 - 2016-10-01),,A2,China,China,85,>=65y,>=65y,>=18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341730
2016-R5147,2016-09-02 (2016-09-02 - 2016-09-28),,A2,China,China,61,18-64y,18-64y,>=18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341731
2016-R6058,2016-11-01 (2016-10-06 - 2016-11-01),,A2,China,China,60,18-64y,18-64y,>=18y,,,,"Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.",MH341732
EVD68_ESP_019_181105_NFLG,2018-11-05,,A2,Spain,Europe,56,18-64y,18-64y,>=18y,Tenerife Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245430
NY586_17,2017-09-10,,A2,USA,North America,,,,,,7/15/2019,,"Wang,G., Zhue,J., Gilrane,V.L., Huang,W., Changhong,C., Budhai,A., Engel,H., Pascual,A., Nolan,S.M. and Fallon,J.T.",MG757146
EVD68_NLD_009_181003_NFLG,2018-10-03,,A2,Netherlands,Europe,0.17,<1y,<18y,<18y,Groningen Netherlands,9/9/2019,,"Hodcroft, E. B. et al.",MN245442
EVD68_BEL_004_180928_NFLG,2018-09-28,,A2,Belgium,Europe,94,>=65y,>=65y,>=18y,Leuven Belgium,9/9/2019,,"Hodcroft, E. B. et al.",MN245399
EVD68_CHE_003_180920_NFLG,2018-09-20,,A2,Switzerland,Europe,58,18-64y,18-64y,>=18y,Basel Switzerland,9/9/2019,,"Hodcroft, E. B. et al.",MN245408
EVD68_NLD_003_180920_NFLG,2018-09-20,,A2,Netherlands,Europe,25,18-64y,18-64y,>=18y,Groningen Netherlands,9/9/2019,,"Hodcroft, E. B. et al.",MN245436
EVD68_CHE_006_181003_NFLG,2018-10-03,,A2,Switzerland,Europe,54,18-64y,18-64y,>=18y,Basel Switzerland,9/9/2019,,"Hodcroft, E. B. et al.",MN245411
EVD68_NLD_004_180924_NFLG,2018-09-24,,A2,Netherlands,Europe,21,18-64y,18-64y,>=18y,Groningen Netherlands,9/9/2019,,"Hodcroft, E. B. et al.",MN245437
NL_07_2019,2019-10-15,,A2,Netherlands,Europe,61,18-64y,18-64y,>=18y,RIVM Netherlands,12/1/2019,,Midgley et al.,MN726798
EVD68_CHE_002_180901_NFLG,2018-09-01,,A2,Switzerland,Europe,72,>=65y,>=65y,>=18y,Basel Switzerland,9/9/2019,,"Hodcroft, E. B. et al.",MN245407
EVD68_NLD_006_181005_NFLG,2018-10-05,,A2,Netherlands,Europe,49,18-64y,18-64y,>=18y,Groningen Netherlands,9/9/2019,,"Hodcroft, E. B. et al.",MN245439
EVD68_BEL_003_181021_NFLG,2018-10-21,,A2,Belgium,Europe,77,>=65y,>=65y,>=18y,Leuven Belgium,9/9/2019,,"Hodcroft, E. B. et al.",MN245398
EVD68_NLD_001_180908_NFLG,2018-09-08,,A2,Netherlands,Europe,3,1-5y,<18y,<18y,Groningen Netherlands,9/9/2019,,"Hodcroft, E. B. et al.",MN245434
EVD68_ESP_016_180911_NFLG,2018-09-11,,A2,Spain,Europe,59,18-64y,18-64y,>=18y,Tenerife Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245427
EVD68_ESP_002_180918_NFLG,2018-09-18,,A2,Spain,Europe,8.01,6-17y,<18y,<18y,Barcelona Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245413
EVD68_ESP_010_181001_NFLG,2018-10-01,,A2,Spain,Europe,2.64,1-5y,<18y,<18y,Barcelona Spain,9/9/2019,,"Hodcroft, E. B. et al.",MN245421
EVD68_NLD_007_181008_NFLG,2018-10-08,,A2,Netherlands,Europe,67,>=65y,>=65y,>=18y,Groningen Netherlands,9/9/2019,,"Hodcroft, E. B. et al.",MN245440
USA/MD/2003-23236,2003-02-16 (2003-01-01 - 2003-12-31),,,USA,North America,,,,,,9/8/2019,,"Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.",MN240510
