strain,date,clade_membership,country,region,url,author,accession
P72_1244,1972-01-01 (1972-01-01 - 1972-11-11),,Malaysia,Southeast Asia,,Vasilakis et al (https://www.ncbi.nlm.nih.gov/pubmed/17553878),EF457905
Gabon2012,2012-01-01 (2012-01-01 - 2012-11-20),,Gabon,Africa,,Fontaine et al (https://www.ncbi.nlm.nih.gov/pubmed/30005085),MG877557
Angola_2013,2013-04-30 (2013-04-04 - 2013-04-30),,Angola,Africa,,Sessions et al (https://www.ncbi.nlm.nih.gov/pubmed/23911088),KF184975
INMI1/DRC_2019,2019-07-01 (2019-07-01 - 2019-07-28),,Italy,Europe,,?,MN577472
Zj/yw01,2013-05-01 (2013-05-01 - 2013-05-28),,China,China,,Chen et al A,KF864667
DENV_1/IND/715393/1971,1971-12-31 (1971-03-03 - 1971-12-31),,India,South Asia,,Jayashri et al,JQ922546
D1Myanmar40553/71,1971-12-31 (1971-04-06 - 1971-12-31),,Myanmar,Southeast Asia,,Thu et al,AY713473
D1Myanmar40568/76,1976-01-01 (1976-01-01 - 1976-10-30),,Myanmar,Southeast Asia,,Thu et al,AY722801
D1Myanmar32514/98,1998-12-31 (1998-02-19 - 1998-12-31),,Myanmar,Southeast Asia,,Thu et al,AY722803
D1Myanmar23819/96,1996-01-01 (1996-01-01 - 1996-10-31),,Myanmar,Southeast Asia,,Thu et al,AY722802
ThD1_0442_80,1980-01-01 (1980-01-01 - 1980-08-21),DENV1/III,Thailand,Southeast Asia,,Zhang et al A (https://www.ncbi.nlm.nih.gov/pubmed/16306584),AY732476
ThD1_0673_80,1980-01-01 (1980-01-01 - 1980-10-07),DENV1/III,Thailand,Southeast Asia,,Zhang et al A (https://www.ncbi.nlm.nih.gov/pubmed/16306584),AY732474
DENV_1/IND/826883/1982,1982-12-31 (1982-06-26 - 1982-12-31),DENV1/III,India,South Asia,,Jayashri et al,JQ922545
DenKor_01,2004-01-01 (2004-01-01 - 2004-11-11),DENV1/III,South Korea,Japan Korea,,?,KP406801
V3083,2014-12-31 (2014-03-12 - 2014-12-31),DENV1/III,India,South Asia,,?,KX618706
UOH_21749,2014-06-02 (2014-01-01 - 2014-12-31),DENV1/III,India,South Asia,,Vaddadi et al,KX618705
FT_DNS1_459_S25_R3_,10/25/2016,DENV1/III,India,South Asia,,?,MK858130
